"country_name.x","country_code","year","sdg_overall","goal1","goal2","goal3","goal4","goal5","goal6","goal7","goal8","goal9","goal10","goal11","goal12","goal14","goal15","goal16","goal17","country_name.y","spi_comp","p1_use","p2_services","p3_products","p4_sources","p5_infra","country_name.x.x","sci_overall","sci_method","sci_periodicity","sci_source","country_name.y.y","regime_type","regime_type_amb","elect_dem","lib_dem","part_dem","delib_dem","egal_dem","freefair","accountability","vt_account","hz_account","diag_account","academ_free","freexp_altinfo","gdp","gdp_pc","population","stat_yb_cov","stat_yb_pub","census","stat_agency"
"Spain","ESP",2000,73.5552420099508,99.3955,66.191,87.5606923076923,92.973,62.89825,84.4728,71.2795,80.1027142857143,56.0184285714286,83.204,96.974,57.4585714285714,42.5558333333333,58.849,79.3730909090909,55.5754,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Spain",3,9,0.891,0.816,0.632,0.796,0.816,0.955,1.746,1.567,1.246,1.775,0.952,0.957,127850.843,29.316,40567864,1,1,0,1
"Spain","ESP",2001,73.9439316071184,99.301,63.205375,88.3233846153846,92.97125,66.22325,84.7388,72.04825,81.9902857142857,57.032,83.204,96.974,57.7038571428571,42.8001666666667,60.181,79.3608181818182,55.4354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Spain",3,9,0.891,0.817,0.63,0.796,0.816,0.955,1.746,1.57,1.25,1.777,0.953,0.957,132298.081,30.007,40850412,1,1,1,1
"Spain","ESP",2002,73.9573019602946,99.224,64.719375,88.7476923076923,92.9615,67.564,84.4144,71.11975,81.6218571428571,58.2087142857143,83.204,96.932,57.1697142857143,41.4361666666667,60.2622,79.3723636363636,55.5074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Spain",3,9,0.891,0.817,0.628,0.796,0.816,0.955,1.737,1.57,1.249,1.774,0.953,0.957,137174.28,30.628,41431558,1,0,0,1
"Spain","ESP",2003,74.538010113416,99.1895,64.378,88.8454615384615,92.93725,68.397,83.9738,72.1925,81.2515714285714,61.9887142857143,86.4435,96.88975,56.5561428571429,43.6196666666667,60.8056,79.3651818181818,56.1982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Spain",3,9,0.876,0.799,0.614,0.78,0.8,0.955,1.732,1.552,1.249,1.776,0.953,0.957,141588.247,31.224,42187645,1,1,0,1
"Spain","ESP",2004,74.6602202988188,99.435,65.961375,89.6441538461538,92.94425,69.25175,82.9308,71.84025,80.9955714285714,63.4002857142857,84.331,96.693,56.599,44.9143333333333,61.2326,79.3819090909091,56.2848,"Spain",NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Spain",3,9,0.874,0.805,0.609,0.787,0.799,0.953,1.748,1.552,1.406,1.78,0.953,0.957,146884.087,31.752,42921895,1,1,0,1
"Spain","ESP",2005,74.9942175706646,99.3535,61.1665,90.522,92.90625,73.9025,82.5352,71.491,82.0024285714286,65.5028571428571,85.5985,96.96025,56.6782857142857,45.3761666666667,62.8848,79.3357272727273,56.3594,"Spain",NA,40,NA,53.45625,NA,NA,NA,NA,NA,NA,NA,"Spain",3,9,0.876,0.808,0.638,0.792,0.799,0.952,1.754,1.557,1.406,1.777,0.953,0.957,153205.355,32.558,43653155,1,1,0,1
"Spain","ESP",2006,75.5851572780161,99.179,63.71475,91.0849230769231,92.888,74.87575,82.1498,72.407,82.2418571428571,67.2472857142857,84.0495,96.7635,56.6725714285714,48.9635,64.2218,79.2216363636364,56.5608,"Spain",NA,40,NA,54.25625,NA,NA,NA,NA,NA,NA,NA,"Spain",3,9,0.877,0.81,0.642,0.792,0.801,0.952,1.742,1.565,1.419,1.776,0.953,0.957,160039.834,33.424,44397319,1,1,0,1
"Spain","ESP",2007,75.8124449403538,99.425,65.82025,91.0899230769231,92.9335,75.5955,81.9696,72.65575,81.957,68.901,83.204,96.81425,55.974,50.2078333333333,64.4404,79.1540909090909,56.7728,"Spain",NA,40,NA,54.50625,NA,NA,NA,NA,NA,NA,NA,"Spain",3,9,0.876,0.808,0.639,0.791,0.8,0.952,1.744,1.555,1.398,1.774,0.953,0.957,166223.297,34.029,45226803,1,1,0,1
"Spain","ESP",2008,76.1953343749388,99.2715,65.907875,92.4044615384615,92.68075,76.967,82.0504,73.58575,80.297,70.0001428571428,79.9385,97.32975,57.4391428571429,51.4273333333333,64.7244,79.1685454545455,57.6848,"Spain",NA,40,NA,54.78125,NA,NA,NA,NA,NA,NA,NA,"Spain",3,9,0.885,0.816,0.647,0.801,0.811,0.965,1.804,1.653,1.421,1.771,0.953,0.957,167315.714,33.854,45954106,1,1,0,1
"Spain","ESP",2009,76.5836557236881,98.8415,63.42,90.9213076923077,92.507,77.9715,83.7314,75.06275,77.3665714285714,70.5597142857143,77.7025,97.195,60.1472857142857,53.9796666666667,64.9316,79.6738181818182,59.1302,"Spain",NA,40,NA,56.10625,NA,NA,NA,NA,NA,NA,NA,"Spain",3,9,0.887,0.818,0.651,0.803,0.813,0.968,1.799,1.655,1.413,1.783,0.953,0.957,164448.496,32.997,46362946,1,1,0,1
"Spain","ESP",2010,76.8988516037884,98.9885,64.071875,91.4506923076923,92.233,78.67775,83.909,76.379,76.1288571428571,73.4731428571429,76.03,97.64825,60.0812857142857,55.0648333333333,64.9924,79.9160909090909,58.9888,"Spain",NA,60,NA,56.7625,NA,NA,NA,NA,NA,NA,NA,"Spain",3,9,0.891,0.823,0.653,0.813,0.814,0.968,1.816,1.659,1.414,1.81,0.953,0.957,162579.437,32.422,46576897,1,1,0,1
"Spain","ESP",2011,76.9756576643944,98.7575,65.463125,92.6826923076923,92.19275,79.31175,83.9926,76.4215,75.1668571428571,75.499,75.3255,97.48225,60.4004285714286,51.9281666666667,65.2332,80.1227272727273,58.9768,"Spain",NA,60,NA,57.1125,NA,NA,NA,NA,NA,NA,NA,"Spain",3,9,0.893,0.823,0.655,0.811,0.811,0.968,1.805,1.647,1.362,1.813,0.953,0.957,161007.67,31.951,46742697,1,1,1,1
"Spain","ESP",2012,77.373182474878,98.793,62.449625,92.5266153846154,92.00275,79.725,84.804,77.0605,73.6274285714286,77.1242857142857,76.998,97.643,61.3221428571429,56.6221666666667,65.1934,80.3064545454545,58.2194,"Spain",NA,60,NA,58.625,NA,NA,NA,NA,NA,NA,NA,"Spain",3,9,0.891,0.802,0.643,0.803,0.798,0.966,1.74,1.621,1.196,1.743,0.951,0.948,157596.771,31.267,46773055,1,1,0,1
"Spain","ESP",2013,77.6542363029128,98.6675,66.856,92.3578461538462,91.8105,80.08475,85.9456,77.80975,69.1038571428571,79.3767142857143,73.684,98.0355,61.6138571428571,62.5838333333333,65.164,77.0639090909091,57.8474,"Spain",NA,60,NA,58.65,NA,NA,NA,NA,NA,NA,NA,"Spain",3,9,0.874,0.78,0.628,0.761,0.77,0.966,1.659,1.622,1.11,1.578,0.953,0.935,155686.841,30.961,46620045,1,1,0,1
"Spain","ESP",2014,78.1404546850209,98.6205,64.353625,93.1566923076923,93.76075,82.18125,85.7132,77.875,71.1721428571429,82.7518571428571,74.1375,98.05675,61.7765714285714,61.4323333333333,65.7634,78.0560909090909,57.7034,"Spain",NA,60,NA,59.78125,NA,NA,NA,NA,NA,NA,NA,"Spain",3,9,0.873,0.782,0.627,0.76,0.766,0.966,1.642,1.631,1.117,1.554,0.953,0.933,157540.19,31.508,46480882,1,1,0,1
"Spain","ESP",2015,78.085092633347,98.642,64.606625,93.8733846153846,94.035,83.18275,86.3754,77.16975,72.117,84.2984285714286,73.3715,97.56125,61.7845714285714,54.6763333333333,66.8012,79.7021818181818,57.8542,"Spain",NA,80,NA,64.8875,NA,NA,NA,NA,NA,NA,NA,"Spain",3,9,0.858,0.766,0.616,0.75,0.761,0.966,1.538,1.511,1.085,1.444,0.951,0.904,163269.455,32.669,46444832,1,1,0,1
"Spain","ESP",2016,78.5021275288437,98.308,66.992625,94.0529230769231,94.15825,83.019,86.3458,77.434,73.4852857142857,85.381,75.185,98.02575,61.2422857142857,54.9936666666667,66.769,79.5851818181818,57.6274,"Spain",86.0908333333333,100,90.9,69.3625,75.1916666666667,95,NA,NA,NA,NA,NA,"Spain",3,9,0.851,0.772,0.609,0.751,0.754,0.956,1.584,1.516,1.343,1.453,0.947,0.904,167593.219,33.425,46484062,NA,NA,NA,NA
"Spain","ESP",2017,78.4444942493781,99.0045,63.358375,94.2187692307692,94.42075,82.5735,86.589,76.53075,74.268,86.677,78.2965,97.778,60.6551428571429,54.4283333333333,66.9008,79.0061818181818,57.6678,"Spain",86.7870833333333,100,87.6,74.64375,76.6916666666667,95,NA,NA,NA,NA,NA,"Spain",3,9,0.84,0.761,0.593,0.738,0.736,0.958,1.548,1.503,1.382,1.374,0.944,0.895,174052.469,34.743,46593236,NA,NA,NA,NA
"Spain","ESP",2018,79.0995582148244,98.823,68.016625,94.8905384615385,94.81075,82.64225,86.2458,77.40725,76.1482857142857,88.2292857142857,78.609,97.964,60.3205714285714,55.4046666666667,66.8508,79.513,57.927,"Spain",87.8454166666667,100,90.8666666666666,75.49375,77.8666666666667,95,NA,NA,NA,NA,NA,"Spain",3,9,0.855,0.779,0.603,0.758,0.768,0.963,1.597,1.545,1.396,1.42,0.947,0.911,177829.076,35.415,46797754,NA,NA,NA,NA
"Spain","ESP",2019,79.6610833093377,98.7635,66.407875,94.8089230769231,95.05525,84.034,86.6026,77.58225,76.3277142857143,89.1844285714286,81.36,97.964,60.5578571428572,60.2986666666667,65.0976,79.7048181818182,58.4376,"Spain",88.8541666666667,100,90.8666666666666,75.5375,77.8666666666667,100,NA,NA,NA,NA,NA,"Spain",3,9,0.874,0.807,0.624,0.772,0.78,0.971,1.727,1.7,1.47,1.507,0.946,0.924,181566.361,36.095,47134837,NA,NA,NA,NA
"Spain","ESP",2020,80.2027070610762,98.592,68.286125,94.5206153846154,95.15675,85.69675,86.5568,79.26875,75.8091428571429,90.1654285714286,78.64,98.08775,61.2497142857143,60.269,65.1062,80.0167272727273,61.1886,"Spain",87.93375,100,91.2333333333333,73.19375,75.2416666666667,100,NA,NA,NA,NA,NA,"Spain",3,9,0.877,0.792,0.627,0.771,0.794,0.974,1.674,1.699,1.134,1.528,0.938,0.917,NA,NA,47363419,NA,NA,NA,NA
"Spain","ESP",2021,80.3773337197117,98.674,68.167375,94.6637692307692,96.17525,86.25125,86.2108,79.12475,77.0138571428571,90.3398571428571,80.515,98.05675,60.6358571428571,60.1663333333333,65.0562,79.8320909090909,62.1232,"Spain",91.5341666666667,100,91.2333333333333,82.8625,83.575,100,NA,NA,NA,NA,NA,"Spain",3,9,0.851,0.776,0.602,0.743,0.754,0.972,1.621,1.685,1.176,1.393,0.938,0.889,NA,NA,47326687,NA,NA,NA,NA
"Spain","ESP",2022,80.7333979961215,98.725,66.5845,94.5869230769231,96.17525,85.748,86.1546,79.1035,77.93,90.4258571428571,80.515,97.49925,65.9962857142857,60.129,67.9876,78.784,63.223,"Spain",91.5025,100,91.2,78.5125,87.8,100,NA,NA,NA,NA,NA,"Spain",3,9,0.866,0.783,0.61,0.759,0.735,0.976,1.685,1.702,1.159,1.513,0.93,0.899,NA,NA,47615034,NA,NA,NA,NA
"Spain","ESP",2023,80.7031198350669,98.763,66.5845,94.7997692307692,96.17525,86.545,85.9386,79.1035,78.3384285714286,90.4262857142857,80.515,97.49925,65.8497142857143,60.1126666666667,67.9376,78.5302727272727,61.9342,"Spain",94.325,100,91.2,92.625,87.8,100,NA,NA,NA,NA,NA,"Spain",3,9,0.843,0.757,0.594,0.706,0.719,0.967,1.568,1.573,1.128,1.412,0.929,0.878,NA,NA,NA,NA,NA,NA,NA
